Designator,Mid X,Mid Y,Rotation,Layer
A1,69.12,-69.28,180.0,top
D1,94.5,-38.0,0.0,top
D10,111.5,-38.0,0.0,top
D11,128.2315,-38.0,0.0,top
D12,128.26875,-55.5,0.0,top
D13,128.2,-72.4,0.0,top
D14,127.745,-89.874,0.0,top
D15,181.2685,-71.5,0.0,top
D16,145.2185,-37.975,0.0,top
D17,145.0688,-55.0,0.0,top
D18,145.45,-72.55,0.0,top
D19,145.4395,-89.856,0.0,top
D2,94.7685,-55.0,0.0,top
D20,180.8185,-89.0,0.0,top
D21,180.8185,-106.0,0.0,top
D22,162.5,-90.0,0.0,top
D23,162.5,-72.5,0.0,top
D24,162.5,-55.0,0.0,top
D25,162.5,-38.0,0.0,top
D26,75.65,-98.8,0.0,top
D27,99.8,-102.8,0.0,top
D28,116.8,-102.8,0.0,top
D29,133.75,-102.7,0.0,top
D3,94.2685,-72.5,0.0,top
D30,150.8,-102.675,0.0,top
D31,168.15,-102.7,0.0,top
D32,186.4685,-93.4,0.0,top
D33,168.05,-85.5,0.0,top
D34,150.8,-85.35,0.0,top
D35,133.725,-85.35,0.0,top
D36,116.85,-85.4,0.0,top
D37,99.95,-85.4,0.0,top
D38,186.325,-58.775,0.0,top
D39,168.025,-67.95,0.0,top
D4,94.5,-90.0,0.0,top
D40,150.825,-67.9,0.0,top
D41,133.75,-67.925,0.0,top
D42,116.825,-67.925,0.0,top
D43,99.825,-67.925,0.0,top
D44,168.05,-51.025,0.0,top
D45,150.85,-50.9,0.0,top
D46,133.85,-50.925,0.0,top
D47,116.85,-51.025,0.0,top
D48,99.85,-50.925,0.0,top
D49,186.4685,-76.1,0.0,top
D5,70.0,-112.0,0.0,top
D50,186.3685,-41.725,0.0,top
D6,181.1873,-54.4,0.0,top
D7,111.5,-90.0,0.0,top
D8,111.2315,-72.5,0.0,top
D9,111.5,-55.0,0.0,top
SW10,110.18,-97.814,0.0,bottom
SW11,181.0235,-46.649,180.0,bottom
SW12,127.185,-46.056,0.0,bottom
SW13,144.135,-46.051,0.0,bottom
SW14,127.205,-63.086,0.0,bottom
SW15,144.135,-63.056,0.0,bottom
SW16,127.135,-80.506,0.0,bottom
SW17,144.135,-80.481,0.0,bottom
SW18,127.1195,-97.836,0.0,bottom
SW19,144.1195,-97.836,0.0,bottom
SW2,93.19,-46.056,0.0,bottom
SW20,181.1135,-63.604,180.0,bottom
SW21,181.0835,-81.004,180.0,bottom
SW22,161.185,-46.056,0.0,bottom
SW23,161.185,-63.076,0.0,bottom
SW24,161.18,-80.48,0.0,bottom
SW25,161.18,-97.814,0.0,bottom
SW26,181.1135,-98.304,180.0,bottom
SW3,93.185,-63.076,0.0,bottom
SW4,93.18,-80.48,0.0,bottom
SW5,93.18,-97.814,0.0,bottom
SW6,69.935,-103.844,180.0,bottom
SW7,110.185,-46.056,0.0,bottom
SW8,110.185,-63.076,0.0,bottom
SW9,110.18,-80.48,0.0,bottom
U1,152.7799,-125.9215,0.0,top
U2,180.8995,-125.9215,0.0,top
